history_id,company_id,contact_id,opportunity_id,type,subject,description,source,occurred_at,owner,created_at
HIST-ACME-CALL1,ACME-MFG,C-ACME-ANNA,OPP-ACME-UPGRADE,Call,Initial upgrade conversation,Discussed benefits of Enterprise plan,ManualLog,2025-10-05T15:30:00Z,jsmith,2025-10-05T16:00:00Z
HIST-ACME-EMAIL1,ACME-MFG,C-ACME-JOE,OPP-ACME-UPGRADE,Email,Sent proposal,Shared pricing and proposal PDF,EmailSync,2025-10-08T11:20:00Z,jsmith,2025-10-08T11:25:00Z
HIST-ACME-MEETING1,ACME-MFG,C-ACME-ANNA,OPP-ACME-UPGRADE,Meeting,Demo and Q&A,Walked through reporting and dashboards,Calendar,2025-10-20T14:00:00Z,jsmith,2025-10-20T15:30:00Z
HIST-ACME-EMAIL2,ACME-MFG,C-ACME-JOE,,Email,Usage recap,Shared usage summary for last quarter,EmailSync,2025-11-01T09:15:00Z,jsmith,2025-11-01T09:20:00Z
HIST-ACME-NOTE1,ACME-MFG,C-ACME-ANNA,,Note,Internal note,"Activity slowed down in last 30 days; watch for renewal risk",ManualLog,2025-11-10T10:05:00Z,jsmith,2025-11-10T10:06:00Z
HIST-BETA-CALL1,BETA-TECH,C-BETA-LISA,OPP-BETA-NEW,Call,Scoping call,Discussed rollout requirements,ManualLog,2025-09-01T10:00:00Z,ljones,2025-09-01T11:00:00Z
HIST-BETA-EMAIL1,BETA-TECH,C-BETA-OMAR,OPP-BETA-NEW,Email,Budget follow-up,Requested confirmation on budget,EmailSync,2025-10-01T13:00:00Z,ljones,2025-10-01T13:05:00Z
HIST-BETA-CALL2,BETA-TECH,C-BETA-SAM,,Call,Technical review,Reviewed integration requirements with technical team,ManualLog,2025-10-15T11:00:00Z,ljones,2025-10-15T11:45:00Z
HIST-BETA-MEETING1,BETA-TECH,C-BETA-LISA,OPP-BETA-NEW,Meeting,Executive presentation,Presented ROI analysis to leadership,Calendar,2025-11-05T14:00:00Z,ljones,2025-11-05T15:30:00Z
HIST-CROWN-CALL1,CROWN-FOODS,C-CROWN-MARIA,OPP-CROWN-RENEW,Call,Renewal planning,Reviewed renewal options,ManualLog,2025-10-10T09:00:00Z,jsmith,2025-10-10T09:30:00Z
HIST-CROWN-EMAIL1,CROWN-FOODS,C-CROWN-ALEX,,Email,Integration support,Helped troubleshoot API connection,EmailSync,2025-10-18T14:20:00Z,jsmith,2025-10-18T14:25:00Z
HIST-CROWN-CALL2,CROWN-FOODS,C-CROWN-NINA,,Call,User feedback,Collected feedback from end users on dashboard usability,ManualLog,2025-11-01T10:00:00Z,jsmith,2025-11-01T10:30:00Z
HIST-CROWN-NOTE1,CROWN-FOODS,C-CROWN-MARIA,OPP-CROWN-RENEW,Note,Renewal confirmed,Customer confirmed 2-year renewal commitment,ManualLog,2025-11-15T09:00:00Z,jsmith,2025-11-15T09:05:00Z
HIST-DELTA-CALL1,DELTA-HEALTH,C-DELTA-ERIN,OPP-DELTA-RENEW,Call,Usage review,Reviewed clinic usage and pain points,ManualLog,2025-07-20T15:00:00Z,amartin,2025-07-20T15:30:00Z
HIST-DELTA-EMAIL1,DELTA-HEALTH,C-DELTA-MIKE,,Email,Training resources,Sent video tutorials for new features,EmailSync,2025-08-05T10:00:00Z,amartin,2025-08-05T10:05:00Z
HIST-DELTA-MEETING1,DELTA-HEALTH,C-DELTA-ERIN,OPP-DELTA-RENEW,Meeting,Quarterly review,Discussed expansion to additional clinics,Calendar,2025-09-15T13:00:00Z,amartin,2025-09-15T14:00:00Z
HIST-DELTA-CALL2,DELTA-HEALTH,C-DELTA-PRIYA,,Call,Support follow-up,Resolved reporting question,ManualLog,2025-10-20T11:00:00Z,amartin,2025-10-20T11:20:00Z
HIST-EAST-EMAIL1,EASTERN-TRAVEL,C-EAST-SANJAY,OPP-EAST-TRIAL,Email,Welcome to trial,Shared login and setup steps,EmailSync,2025-01-05T09:00:00Z,mmalik,2025-01-05T09:05:00Z
HIST-EAST-CALL1,EASTERN-TRAVEL,C-EAST-RAVI,OPP-EAST-TRIAL,Call,Onboarding call,Walked through initial setup and configuration,ManualLog,2025-01-10T10:00:00Z,mmalik,2025-01-10T10:45:00Z
HIST-EAST-EMAIL2,EASTERN-TRAVEL,C-EAST-ANITA,,Email,Marketing templates,Shared email campaign templates,EmailSync,2025-01-20T14:00:00Z,mmalik,2025-01-20T14:05:00Z
HIST-EAST-CALL2,EASTERN-TRAVEL,C-EAST-SANJAY,OPP-EAST-TRIAL,Call,Trial check-in,Discussed trial progress and conversion timeline,ManualLog,2025-02-01T11:00:00Z,mmalik,2025-02-01T11:30:00Z
HIST-FUSION-CALL1,FUSION-RETAIL,C-FUSION-EMMA,OPP-FUSION-UPSELL,Call,Seat expansion interest,Discussed need for more seats,ManualLog,2025-09-15T10:00:00Z,jsmith,2025-09-15T10:30:00Z
HIST-FUSION-EMAIL1,FUSION-RETAIL,C-FUSION-LARS,,Email,Security review,Sent compliance documentation for IT review,EmailSync,2025-09-25T15:00:00Z,jsmith,2025-09-25T15:05:00Z
HIST-FUSION-MEETING1,FUSION-RETAIL,C-FUSION-EMMA,OPP-FUSION-UPSELL,Meeting,Expansion planning,Planned rollout to additional departments,Calendar,2025-10-10T14:00:00Z,jsmith,2025-10-10T15:00:00Z
HIST-FUSION-CALL2,FUSION-RETAIL,C-FUSION-INES,,Call,User training,Conducted training session for new team members,ManualLog,2025-11-01T09:00:00Z,jsmith,2025-11-01T10:00:00Z
HIST-GREEN-CALL1,GREEN-ENERGY,C-GREEN-CARLOS,,Call,Initial onboarding,Set up account and trained on basics,ManualLog,2022-06-20T10:00:00Z,ljones,2022-06-20T11:00:00Z
HIST-GREEN-EMAIL1,GREEN-ENERGY,C-GREEN-LINDA,,Email,Feature request,Requested custom reporting feature,EmailSync,2023-03-15T14:00:00Z,ljones,2023-03-15T14:05:00Z
HIST-GREEN-CALL2,GREEN-ENERGY,C-GREEN-TOM,,Call,Support escalation,Addressed performance concerns,ManualLog,2024-08-10T15:00:00Z,ljones,2024-08-10T15:45:00Z
HIST-GREEN-MEETING1,GREEN-ENERGY,C-GREEN-CARLOS,,Meeting,Renewal discussion,Discussed renewal but customer expressed budget constraints,Calendar,2025-04-15T11:00:00Z,ljones,2025-04-15T12:00:00Z
HIST-GREEN-EMAIL2,GREEN-ENERGY,C-GREEN-CARLOS,,Email,Cancellation notice,Customer notified intent to cancel at renewal,EmailSync,2025-05-20T09:00:00Z,ljones,2025-05-20T09:05:00Z
HIST-GREEN-NOTE1,GREEN-ENERGY,C-GREEN-CARLOS,,Note,Churn post-mortem,"Customer churned due to budget cuts and perceived lack of ROI. Key learnings: needed more frequent check-ins and clearer value demonstration.",ManualLog,2025-07-01T10:00:00Z,ljones,2025-07-01T10:15:00Z
HIST-HARBOR-CALL1,HARBOR-LOGISTICS,C-HARBOR-JACOB,OPP-HARBOR-NEW,Call,Discovery call,Explored logistics workflows,ManualLog,2025-06-01T14:00:00Z,mmalik,2025-06-01T14:30:00Z
