activity_id,company_id,contact_id,opportunity_id,type,subject,notes,due_date,owner,priority,status,created_at,completed_at
ACT-ACME-FOLLOWUP1,ACME-MFG,C-ACME-ANNA,OPP-ACME-UPGRADE,Call,Follow up on upgrade proposal,Reviewed Enterprise pricing with Anna. She raised concern about 20% increase vs. last year. Agreed to prepare ROI analysis showing efficiency gains. CFO approval needed before proceeding.,2026-01-29T15:30:00Z,jsmith,High,Open,2025-11-10,
ACT-ACME-RENEW-CALL,ACME-MFG,C-ACME-JOE,OPP-ACME-RENEWAL,Call,Discuss renewal options,Joe confirmed they want to renew but need updated pricing by Feb 15. Budget cycle starts March 1. He prefers 1-year term over multi-year due to uncertainty.,2026-03-24T16:00:00Z,jsmith,Medium,Open,2025-11-01,
ACT-ACME-EXEC-INTRO,ACME-MFG,C-ACME-BETH,,Meeting,Executive introduction,First meeting with CFO Beth Turner. She controls final budget approval. Historically skeptical of software ROI claims. Prepare concrete metrics from similar manufacturing customers.,2026-02-03T10:00:00Z,jsmith,Medium,Open,2025-11-20,
ACT-BETA-QBR,BETA-TECH,C-BETA-LISA,,Meeting,Quarterly business review,Usage up 40% vs last quarter - strong adoption signal. Lisa mentioned expansion to marketing team. Will schedule demo for marketing director next week. Discussed roadmap alignment.,2026-02-01T14:00:00Z,ljones,Medium,Open,2025-11-05,
ACT-BETA-SECURITY,BETA-TECH,C-BETA-SAM,,Task,Security questionnaire,Sam is driving security review for enterprise procurement. Need to provide SOC2 Type II report and penetration test results. Legal wants data processing agreement reviewed by Jan 20.,2026-02-08T17:00:00Z,ljones,High,Open,2025-11-15,
ACT-BETA-DEMO,BETA-TECH,C-BETA-OMAR,OPP-BETA-NEW,Meeting,Executive demo,Final demo for CEO Omar. Focus on dashboard and reporting capabilities - he's metrics-driven. Prepare 3 customer case studies from similar B2B SaaS companies. Deal closes if this goes well.,2026-02-05T11:00:00Z,ljones,High,Open,2025-11-10,
ACT-CROWN-CHECKIN,CROWN-FOODS,C-CROWN-MARIA,OPP-CROWN-RENEW,Call,Renewal check-in,Maria expressed frustration with mobile app performance. Support ticket open for 2 weeks. Need to escalate before renewal discussion. She's otherwise happy with the product.,2026-01-30T10:00:00Z,jsmith,High,Open,2025-11-02,
ACT-CROWN-TRAINING,CROWN-FOODS,C-CROWN-NINA,,Meeting,Advanced training,Train 5 power users on advanced reporting. Nina requested custom dashboard templates for inventory forecasting. Prepare examples from retail customers.,2026-02-04T14:00:00Z,jsmith,Low,Open,2025-11-18,
ACT-CROWN-API-REVIEW,CROWN-FOODS,C-CROWN-ALEX,,Call,API usage review,Review API integration health with Alex. They're hitting rate limits during peak inventory updates. Discuss upgrade to higher API tier or optimize their batch processing.,2026-02-19T10:00:00Z,jsmith,Medium,Open,2025-11-20,
ACT-DELTA-RENEW,DELTA-HEALTH,C-DELTA-ERIN,OPP-DELTA-RENEW,Call,Renewal discussion,Erin confirmed renewal but flagged concerns about price increase. Discussed grandfathering their rate for 1 more year given expansion opportunity. She agreed to champion internally.,2025-08-25T15:00:00Z,amartin,High,Completed,2025-08-01,2025-08-25T16:00:00Z
ACT-DELTA-EXPANSION,DELTA-HEALTH,C-DELTA-ERIN,OPP-DELTA-EXPAND,Meeting,Expansion discussion,Present proposal for 3 additional clinic locations. Erin is enthusiastic but needs board approval. Key objection expected around IT resource requirements. Prepare self-service implementation option.,2026-02-04T13:00:00Z,amartin,Medium,Open,2025-11-01,
ACT-DELTA-SUPPORT,DELTA-HEALTH,C-DELTA-MIKE,,Task,Support ticket follow-up,Mike opened tickets about HIPAA audit logging. Current logs don't meet their compliance requirements. Engineering working on enhanced logging - ETA 2 weeks. Keep Mike updated.,2026-01-28T09:00:00Z,amartin,Low,Open,2025-11-25,
ACT-EAST-TRIAL-END,EASTERN-TRAVEL,C-EAST-SANJAY,OPP-EAST-TRIAL,Call,Trial wrap-up,Trial ends Feb 28. Sanjay likes the product but worried about adoption - agents are resistant to change. Propose extended pilot with 2 champion agencies before full rollout.,2026-03-06T11:00:00Z,mmalik,Medium,Open,2025-02-01,
ACT-EAST-DEMO,EASTERN-TRAVEL,C-EAST-RAVI,,Meeting,Feature demo,Demo advanced booking features to Ravi's operations team. They want to see multi-leg itinerary handling and group booking workflows. Prepare travel agency specific use cases.,2026-02-24T10:00:00Z,mmalik,Medium,Open,2025-01-25,
ACT-EAST-PROPOSAL,EASTERN-TRAVEL,C-EAST-SANJAY,OPP-EAST-TRIAL,Task,Send proposal,Prepare pricing proposal with volume discount for 200+ agents. Include comparison to their current Sabre-based workflow. Sanjay needs this for budget meeting Feb 20.,2026-03-01T17:00:00Z,mmalik,High,Open,2025-02-05,
ACT-FUSION-EXPANSION,FUSION-RETAIL,C-FUSION-EMMA,OPP-FUSION-UPSELL,Call,Discuss seat expansion,Emma confirmed need for 25 additional seats for new store openings. Wants same pricing as original contract. Check if we can honor the rate given volume increase.,2026-05-29T09:00:00Z,jsmith,Medium,Open,2025-10-25,
ACT-FUSION-CONTRACT,FUSION-RETAIL,C-FUSION-LARS,,Task,Contract review,Send updated contract for legal review. Lars flagged concerns about new data processing terms in our updated MSA. Prepare redline showing changes from their current agreement.,2026-01-31T17:00:00Z,jsmith,High,Open,2025-11-20,
ACT-FUSION-ONBOARD,FUSION-RETAIL,C-FUSION-INES,,Meeting,New user onboarding,Onboard 15 newly hired sales reps. Ines requested focus on mobile app and offline mode for store visits. Schedule 2-hour session with hands-on exercises.,2026-02-22T14:00:00Z,jsmith,Medium,Open,2025-12-01,
ACT-GREEN-WINBACK,GREEN-ENERGY,C-GREEN-CARLOS,,Call,Win-back outreach,Carlos mentioned they might return after Q4 budget cycle. Solar division losses were the main churn reason - now stabilized. Prepare win-back offer with reduced pricing.,2026-03-15T10:00:00Z,ljones,Low,Open,2025-11-15,
