attachment_id,company_id,contact_id,opportunity_id,title,summary,file_type,created_at
ATT-0001,ACME-MFG,C-ACME-ANNA,OPP-ACME-UPGRADE,Data Import Mapping Sheet,Field mapping rules for importing contacts from Salesforce. Includes data hygiene requirements and duplicate handling logic for 50k+ records.,xlsx,2025-11-10
ATT-0002,ACME-MFG,C-ACME-JOE,OPP-ACME-RENEWAL,Proposal (PDF),Renewal terms for 2025-2026 period with 3% price increase. Includes comparison to original contract and summary of feature additions since signing.,pdf,2025-11-01
ATT-0003,BETA-TECH,C-BETA-LISA,OPP-BETA-NEW,Data Import Mapping Sheet,Field mapping for migrating 12k contacts from HubSpot. Includes custom field translations and tag normalization rules.,xlsx,2025-11-02
ATT-0004,BETA-TECH,C-BETA-SAM,OPP-BETA-ADDON,Analytics Requirements,Technical requirements for analytics module integration. Covers API endpoints needed for dashboard embedding and SSO requirements.,docx,2025-11-15
ATT-0005,CROWN-FOODS,C-CROWN-MARIA,OPP-CROWN-RENEW,Renewal Quote,Renewal pricing for 2025 subscription period. Includes 10% volume discount for adding warehouse locations and multi-year commitment option.,pdf,2025-10-30
ATT-0006,CROWN-FOODS,C-CROWN-MARIA,OPP-CROWN-RENEW,Statement of Work,Implementation scope for adding 5 new warehouse locations. Covers data migration timeline and training schedule for regional managers.,docx,2025-10-30
ATT-0007,DELTA-HEALTH,C-DELTA-ERIN,OPP-DELTA-RENEW,Security Questionnaire,Completed security questionnaire covering SOC2 compliance and HIPAA requirements. Includes data retention policies and access control documentation.,xlsx,2025-08-15
ATT-0008,DELTA-HEALTH,C-DELTA-ERIN,OPP-DELTA-EXPAND,Clinic Expansion Proposal,Proposal for rolling out to 3 additional clinic locations. Includes per-clinic pricing and phased implementation timeline over 6 months.,pdf,2025-11-10
ATT-0009,EASTERN-TRAVEL,C-EAST-SANJAY,OPP-EAST-TRIAL,Data Import Mapping Sheet,Field mapping for importing 8k travel agent contacts. Includes regional territory assignments and commission tier classifications.,pdf,2025-10-05
ATT-0010,EASTERN-TRAVEL,C-EAST-RAVI,OPP-EAST-TRIAL,Implementation Guide,Step-by-step guide for trial setup and configuration. Covers booking system integration and agent portal customization.,pdf,2025-01-12
ATT-0011,FUSION-RETAIL,C-FUSION-EMMA,OPP-FUSION-UPSELL,Statement of Work,Scope for adding 25 new retail store locations. Includes POS integration requirements and store manager training plan.,pdf,2025-10-25
ATT-0012,FUSION-RETAIL,C-FUSION-LARS,OPP-FUSION-RENEW,Signed Contract,Executed annual renewal contract for 2025-2026. Locked in 5% discount for 2-year commitment. Auto-renewal clause included.,pdf,2025-09-30
ATT-0013,GREEN-ENERGY,C-GREEN-CARLOS,OPP-GREEN-RENEW,Renewal Proposal,Renewal pricing for 2025 with 15% increase due to usage growth. Includes option to upgrade to Enterprise tier for better per-seat economics.,pdf,2025-03-15
ATT-0014,GREEN-ENERGY,C-GREEN-LINDA,OPP-GREEN-EXPAND,Solar Division Requirements,Requirements document for solar division CRM rollout. Covers lead scoring model for residential vs commercial installations.,docx,2024-11-15
ATT-0015,GREEN-ENERGY,C-GREEN-CARLOS,OPP-GREEN-RENEW,Cancellation Notice,Formal cancellation notice citing budget constraints from solar division losses. Expressed interest in returning after Q4 budget cycle.,pdf,2025-06-01
ATT-0016,HARBOR-LOGISTICS,C-HARBOR-JACOB,OPP-HARBOR-NEW,Executive One-Pager,High-level overview for leadership including key benefits for logistics operations and 18-month ROI projection.,xlsx,2025-11-10
ATT-0017,HARBOR-LOGISTICS,C-HARBOR-JACOB,OPP-HARBOR-NEW,ROI Summary,Detailed ROI analysis showing expected time savings of 12 hours per coordinator per week. Includes implementation costs and break-even timeline.,docx,2025-11-10
